num,BTID,BLID,latTrap,lonTrap,elevTrap,locality,country,province,sample,collector,trapType,startYear,startMonth,startDay,florelation,Order,Genus,Species,Family,Sex,subgenus,Notes,endMonth,endDay,endYear,assocphoto,inatLink,FolderLocation
1,RRAB23-1,RRAB23-1,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,1,R. Rampton,Net,2023,5,2,Pulsatilla nuttalliana,Hymenoptera,Lasioglossum,,Halictidae,F,,,NA,NA,NA,,,
2,RRAB23-2,RRAB23-2,51.084,-114.118,1100,Charles wood,"CA, AB",Calgary,2,R. Rampton,Net,2023,5,3,NA,,,,Ichneumonoidea,,,Bumbling around in backyard,NA,NA,NA,,,
3,RRAB23-3,RRAB23-3,51.134,-114.05,1100,Nose creek at mayfly ,"CA, AB",Calgary,3,R. Rampton,Net,2023,5,4,Shepherdia canadensis,,,,,,,,NA,NA,NA,,,
4,RRAB23-4,RRAB23-4,51.089,-114.175,1080,Dale Hodges,"CA, AB",Calgary,4,R. Rampton,Net,2023,5,5,Salix ,,,,,,,Salix at wetland,NA,NA,NA,,,
5,RRAB23-5,RRAB23-5,51.092,-114.177,1100,Dale Hodges,"CA, AB",Calgary,5,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg above pond,NA,NA,NA,,,
6,RRAB23-6,RRAB23-6,51.092,-114.177,1100,Dale Hodges,"CA, AB",Calgary,5,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg above pond,NA,NA,NA,,,
7,RRAB23-7,RRAB23-7,51.092,-114.177,1100,Dale Hodges,"CA, AB",Calgary,5,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg above pond,NA,NA,NA,,,
8,RRAB23-8,RRAB23-8,51.092,-114.177,1100,Dale Hodges,"CA, AB",Calgary,5,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg above pond,NA,NA,NA,,,
9,RRAB23-9,RRAB23-9,51.097,-114.187,1090,Bowmont,"CA, AB",Calgary,6,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg start,NA,NA,NA,,,
10,RRAB23-10,RRAB23-10,51.097,-114.187,1090,Bowmont,"CA, AB",Calgary,6,R. Rampton,Net,2023,5,5,NA,,,,,,,Mating pair,NA,NA,NA,,,
11,RRAB23-11,RRAB23-11,51.095,-114.185,1070,Bowmont,"CA, AB",Calgary,7,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg on river bank ,NA,NA,NA,,,
12,RRAB23-12,RRAB23-12,51.095,-114.185,1070,Bowmont,"CA, AB",Calgary,7,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg on river bank ,NA,NA,NA,,,
13,RRAB23-13,RRAB23-13,51.095,-114.185,1070,Bowmont,"CA, AB",Calgary,7,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg on river bank ,NA,NA,NA,,,
14,RRAB23-14,RRAB23-14,51.095,-114.185,1070,Bowmont,"CA, AB",Calgary,7,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg on river bank ,NA,NA,NA,,,
15,RRAB23-15,RRAB23-15,51.095,-114.185,1070,Bowmont,"CA, AB",Calgary,7,R. Rampton,Net,2023,5,5,NA,,,,,,,Nest agg on river bank ,NA,NA,NA,,,
16,RRAB23-16,RRAB23-16,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
17,RRAB23-17,RRAB23-17,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
18,RRAB23-18,RRAB23-18,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
19,RRAB23-19,RRAB23-19,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
20,RRAB23-20,RRAB23-20,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
21,RRAB23-21,RRAB23-21,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
22,RRAB23-22,RRAB23-22,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,8,R. Rampton,Net,2023,5,2,Salix ,,,,,,,,NA,NA,NA,,,
23,RRAB23-23,RRAB23-23,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,9,R. Rampton,Net,2023,5,2,Shepherdia canadensis,,,,,,,,NA,NA,NA,,,
24,RRAB23-24,RRAB23-24,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,9,R. Rampton,Net,2023,5,2,Shepherdia canadensis,,,,,,,,NA,NA,NA,,,
25,RRAB23-25,RRAB23-25,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,9,R. Rampton,Net,2023,5,2,Shepherdia canadensis,,,,,,,,NA,NA,NA,,,
26,RRAB23-26,RRAB23-26,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,9,R. Rampton,Net,2023,5,2,Shepherdia canadensis,,,,,,,,NA,NA,NA,,,
27,RRAB23-27,RRAB23-27,51.084,-114.118,1100,Charleswood,"CA, AB",Calgary,10,R. Rampton,Net,2023,5,16,Malus,,,,,,,,NA,NA,NA,,,
28,RRAB23-28,RRAB23-28,51.084,-114.118,1100,Charleswood,"CA, AB",Calgary,10,R. Rampton,Net,2023,5,16,Malus,,,,,,,,NA,NA,NA,,,
29,RRAB23-29,RRAB23-29,51.084,-114.118,1100,Charleswood,"CA, AB",Calgary,10,R. Rampton,Net,2023,5,16,Malus,,,,,,,,NA,NA,NA,,,
30,RRAB23-30,RRAB23-30,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,11,R. Rampton,Net,2023,5,22,Astragalus crassicarpus,,,,,,,,NA,NA,NA,,,
31,RRAB23-31,RRAB23-31,51.103,-114.124,1160,Nose Hill,"CA, AB",Calgary,12,R. Rampton,Net,2023,5,22,Taraxacum,,,,,,,,NA,NA,NA,,,
32,RRAB23-32,RRAB23-32,50.992,-114.146,1070,Weaselhead,"CA, AB",Calgary,13,R. Rampton,Net,2023,5,25,Salix ,,,,,,,,NA,NA,NA,,,
33,RRAB23-33,RRAB23-33,50.992,-114.146,1070,Weaselhead,"CA, AB",Calgary,13,R. Rampton,Net,2023,5,25,Salix ,,,,,,,,NA,NA,NA,,,
34,RRAB23-34,RRAB23-34,50.992,-114.146,1070,Weaselhead,"CA, AB",Calgary,13,R. Rampton,Net,2023,5,25,Salix ,,,,,,,,NA,NA,NA,,,
35,RRAB23-35,RRAB23-35,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,14,R. Rampton,Net,2023,5,25,Fragaria vesca,,,,,,,,NA,NA,NA,,,
36,RRAB23-36,RRAB23-36,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,14,R. Rampton,Net,2023,5,25,Fragaria vesca,,,,,,,,NA,NA,NA,,,
37,RRAB23-37,RRAB23-37,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,14,R. Rampton,Net,2023,5,25,Fragaria vesca,,,,,,,,NA,NA,NA,,,
38,RRAB23-38,RRAB23-38,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,14,R. Rampton,Net,2023,5,25,Fragaria vesca,,,,,,,,NA,NA,NA,,,
39,RRAB23-39,RRAB23-39,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,14,R. Rampton,Net,2023,5,25,Fragaria vesca,,,,,,,,NA,NA,NA,,,
40,RRAB23-40,RRAB23-40,50.993,-114.157,1070,Weaselhead,"CA, AB",Calgary,15,R. Rampton,Net,2023,5,25,Prunus virginiana,,,,,,,,NA,NA,NA,,,
41,RRAB23-41,RRAB23-41,50.993,-114.157,1070,Weaselhead,"CA, AB",Calgary,16,R. Rampton,Net,2023,5,25,NA,,,,,,,,NA,NA,NA,,,
42,RRAB23-42,RRAB23-42,50.993,-114.157,1070,Weaselhead,"CA, AB",Calgary,16,R. Rampton,Net,2023,5,25,NA,,,,,,,,NA,NA,NA,,,
43,RRAB23-43,RRAB23-43,50.993,-114.157,1070,Weaselhead,"CA, AB",Calgary,16,R. Rampton,Net,2023,5,25,NA,,,,,,,,NA,NA,NA,,,
44,RRAB23-44,RRAB23-44,50.993,-114.157,1070,Weaselhead,"CA, AB",Calgary,16,R. Rampton,Net,2023,5,25,NA,,,,,,,,NA,NA,NA,,,
45,RRAB23-45,RRAB23-45,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
46,RRAB23-46,RRAB23-46,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
47,RRAB23-47,RRAB23-47,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
48,RRAB23-48,RRAB23-48,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
49,RRAB23-49,RRAB23-49,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
50,RRAB23-50,RRAB23-50,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
51,RRAB23-51,RRAB23-51,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,17,R. Rampton,Net,2023,5,25,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
52,RRAB23-52,RRAB23-52,50.996,-114.15,1070,Weaselhead,"CA, AB",Calgary,18,R. Rampton,Net,2023,5,27,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
53,RRAB23-53,RRAB23-53,51.084,-114.118,1090,Charleswood,"CA, AB",Calgary,19,R. Rampton,Net,2023,5,27,NA,,,,,,,,NA,NA,NA,,,
54,RRAB23-54,RRAB23-54,49.106,-111.698,980,Milk River Bridge,"CA, AB",Milk River,20,R. Rampton,Net,2023,5,30,Hymenoxys richardsonii,,,,,,,,NA,NA,NA,,,
55,RRAB23-55,RRAB23-55,49.106,-111.698,980,Milk River Bridge,"CA, AB",Milk River,20,R. Rampton,Net,2023,5,30,Hymenoxys richardsonii,,,,,,,,NA,NA,NA,,,
